Id,Name,FullName,HtmlUrl,Description,Language,CreatedAt,UpdatedAt,PushedAt,OpenIssuesCount,ForksCount,StargazersCount,WatchersCount,Size,OwnerLogin,OwnerType,License
259463685,carbon-lang,carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang,"Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is experimental; see README)",C++,2020-04-27T21:45:16Z,2024-12-06T23:26:37Z,2024-12-06T23:26:34Z,118,1479,32419,32419,38812,carbon-language,Organization,Other
621803253,Flowise,FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,Drag & drop UI to build your customized LLM flow,TypeScript,2023-03-31T12:23:09Z,2024-12-07T00:55:46Z,2024-12-06T23:50:43Z,425,16758,32151,32151,29558,FlowiseAI,Organization,Apache License 2.0
149001365,leetcode,doocs/leetcode,https://github.com/doocs/leetcode,🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,Java,2018-09-16T14:03:03Z,2024-12-07T01:05:22Z,2024-12-07T01:05:19Z,9,7658,32013,32013,13058085,doocs,Organization,Creative Commons Attribution Share Alike 4.0 International
31288958,vault,hashicorp/vault,https://github.com/hashicorp/vault,"A tool for secrets management, encryption as a service, and privileged access management",Go,2015-02-25T00:15:59Z,2024-12-07T00:13:35Z,2024-12-07T01:01:25Z,1269,4235,31356,31356,306718,hashicorp,Organization,Other
154739597,jax,jax-ml/jax,https://github.com/jax-ml/jax,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",Python,2018-10-25T21:25:02Z,2024-12-06T23:51:18Z,2024-12-07T01:08:20Z,1890,2831,30688,30688,102316,jax-ml,Organization,Apache License 2.0
218115303,swr,vercel/swr,https://github.com/vercel/swr,React Hooks for Data Fetching,TypeScript,2019-10-28T18:16:01Z,2024-12-06T23:31:53Z,2024-12-07T01:08:57Z,152,1223,30667,30667,3350,vercel,Organization,MIT License
16563587,cockroach,cockroachdb/cockroach,https://github.com/cockroachdb/cockroach,"CockroachDB — the cloud native, distributed SQL database designed for high availability, effortless scale, and control over data placement.",Go,2014-02-06T00:18:47Z,2024-12-07T00:43:45Z,2024-12-07T00:47:53Z,6457,3820,30227,30227,2919620,cockroachdb,Organization,Other
75821432,llvm-project,llvm/llvm-project,https://github.com/llvm/llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.,LLVM,2016-12-07T09:39:33Z,2024-12-07T01:02:15Z,2024-12-07T01:02:07Z,27449,12187,29477,29477,1866883,llvm,Organization,Other
327089870,payload,payloadcms/payload,https://github.com/payloadcms/payload,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications.",TypeScript,2021-01-05T18:49:45Z,2024-12-07T00:57:34Z,2024-12-06T23:59:11Z,343,1817,29377,29377,130501,payloadcms,Organization,MIT License
6934395,rocksdb,facebook/rocksdb,https://github.com/facebook/rocksdb,"A library that provides an embeddable, persistent key-value store for fast storage.",C++,2012-11-30T06:16:18Z,2024-12-06T23:43:02Z,2024-12-06T23:42:57Z,1067,6345,28759,28759,222936,facebook,Organization,GNU General Public License v2.0
59435364,outline,outline/outline,https://github.com/outline/outline,"The fastest knowledge base for growing teams. Beautiful, realtime collaborative, feature packed, and markdown compatible.",TypeScript,2016-05-22T21:31:47Z,2024-12-07T01:09:03Z,2024-12-07T00:56:04Z,112,2290,28751,28751,55502,outline,Organization,Other
699532645,uv,astral-sh/uv,https://github.com/astral-sh/uv,"An extremely fast Python package and project manager, written in Rust.",Rust,2023-10-02T20:24:11Z,2024-12-07T00:13:13Z,2024-12-07T00:11:52Z,1078,813,28707,28707,51156,astral-sh,Organization,Apache License 2.0
3390243,servo,servo/servo,https://github.com/servo/servo,"Servo, the embeddable, independent, memory-safe, modular, parallel web rendering engine",Rust,2012-02-08T19:07:25Z,2024-12-07T01:00:43Z,2024-12-07T01:00:39Z,3163,3045,28629,28629,1434958,servo,Organization,Mozilla Public License 2.0
4524181,folly,facebook/folly,https://github.com/facebook/folly,An open-source C++ library developed and used at Facebook.,C++,2012-06-01T20:49:04Z,2024-12-07T00:31:17Z,2024-12-07T00:31:12Z,333,5579,28522,28522,47881,facebook,Organization,Apache License 2.0
14125254,consul,hashicorp/consul,https://github.com/hashicorp/consul,"Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure.",Go,2013-11-04T22:15:27Z,2024-12-07T00:07:57Z,2024-12-06T23:23:57Z,1281,4432,28470,28470,499263,hashicorp,Organization,Other
191820100,mediapipe,google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,"Cross-platform, customizable ML solutions for live and streaming media.",C++,2019-06-13T19:16:41Z,2024-12-06T23:32:21Z,2024-12-06T23:32:17Z,492,5181,27853,27853,603415,google-ai-edge,Organization,Apache License 2.0
60243197,server,nextcloud/server,https://github.com/nextcloud/server,"☁️ Nextcloud server, a safe home for all your data",PHP,2016-06-02T07:44:14Z,2024-12-07T00:21:33Z,2024-12-07T00:21:49Z,2495,4084,27588,27588,4824048,nextcloud,Organization,GNU Affero General Public License v3.0
43723161,helm,helm/helm,https://github.com/helm/helm,The Kubernetes Package Manager,Go,2015-10-06T01:07:32Z,2024-12-06T23:41:58Z,2024-12-06T23:42:01Z,734,7140,27155,27155,21966,helm,Organization,Apache License 2.0
